current_position,current_company,years_of_experience,total_skills,education_degree,education_institution,certifications,city,state,country,profile_type
Data Engineer,Genpact,2.7,"Google Cloud Platform (GCP), Talend Open Studio, Amazon Web Services (AWS), SQL, Python (Programming Language), C++, C (Programming Language), HTML5, Engineering, Data Structures, Core Java, Cascading Style Sheets (CSS), Problem Solving",Bachelor of Technology - BTech,Graphic Era Deemed to be University,"AWS Certified Data Engineer – Associate, Associate Cloud Engineer Certification, Amazon Web Services Cloud Practitioner",Bengaluru,Karnataka,India,data_engineers
Data Science Intern,ExcelR,0.7,"Power BI, Artificial Intelligence (AI), Generative AI, Computer Ethics, Data Science, Machine Learning, Data Analysis, Exploratory Data Analysis, Data Cleaning, Missing Data, Data Mining, Deployment , Model Building, C training , Amazon Web Services (AWS), SQL, Python (Programming Language), Database Management System (DBMS), C (Programming Language), C++, Databases, Microsoft PowerPoint, Data, LaTeX, Bootstrap (Framework), Soft Skills, Computer Hardware, Presentation Skills, Teamwork, Leadership Development, Team Leadership, Leadership, Organizational Development, Respect, Project Management, Creativity and Innovation, Communication, Employee Loyalty, Customer Satisfaction, Customer Relationship Management (CRM), Adaptability , Film Direction, Presentations, Strategy, Ideas Development, Problem Solving, Discipline , Research Skills, Engineering, English, Marketing, Training, Housekeeping",Data Science ,ExcelR,"Python Essentials 1, Training on Data Science , Career Edge - Young Professional , Career Essentials in Generative AI by
Microsoft and LinkedIn, Python for Data Science , Data Science, C Training",Bengaluru,Karnataka,India,data_engineers
Data Engineer,Indium Software,3.1,"C (Programming Language), Computer Hardware, Azure Databricks, Databrick, Machine Learning, MLflow, Microsoft Azure, Azure SQL, Python (Programming Language), SQL, Java, JavaScript, MySQL, Testing, Web Development, Networking",Bachelor of Technology - BTech,Amrita Vishwa Vidyapeetham,Confluent Apache Kafka Fundamentals Accreditation,Bengaluru,Karnataka,India,data_engineers
Data Engineer,FirstMeridian Global Services Private Limited,5.8,"Hive, Azure Key Vault, Msfabric, Azure synapse, Data Warehousing, Data Processing, Data Pipelines, Data Modeling, SQL, Azure Data Factory, Azure Databricks, Azure Data Lake, Python (Programming Language), Azure Logic Apps",,,"Amazon Data engineer associate, Microsoft Certified: Azure Data Fundamentals, Microsoft Certified: Azure Data Engineer Associate",Bengaluru,Karnataka,India,data_engineers
Data Engineer,Mphasis,2.2,"Microsoft Azure, Azure Databricks, Computer Science Education, Programming Languages, System Requirements, Record Keeping, PostgreSQL, Data Reporting, MySQL, Data Transformation, AWS Glue, Data Pipelines, Agile Software Development, Amazon Redshift, Amazon EC2, Amazon Aurora, Data Visualization, AWS Cloud Migration, Data Migration, Data Modeling, Data Analytics, Rapid Prototyping, Bitbucket, DBeaver, Data Engineering, Account Management, Agile Methodologies, AWS Lambda, Problem Solving, Data Monitoring, Cross-functional Collaborations, Data Integration, PySpark, Data Warehousing, Amazon Web Services (AWS), Extract, Transform, Load (ETL), Microsoft Excel, SQL, Python (Programming Language), Big Data Analytics, Tableau, Java, Spring Boot, React.js, Data Analysis, Product Management, Microsoft Power BI, ",Master of Technology - MTech,BGS Institute of Technology - India,,Bengaluru,Karnataka,India,data_engineers
Data Engineer,Accenture,1.9,"Azure Databricks, Snowflake Cloud, Reltio Cloud MDM, Python (Programming Language), SQL, Talend, Data Build Tool (DBT), Microsoft Excel, Java, Spring Boot, REST APIs, HTML, Cascading Style Sheets (CSS), JavaScript, Computer Networking, Operating Systems, Red Hat Linux, Data Analysis, Predictive Analytics, Hadoop, C++, Problem Solving, Communication, Presentations",B.Tech Honors,Lovely Professional University,"Data Structure & Algorithms, Flipkart Grid 4.0, IBM Machine Learning, Intro to Data Science, Java FullStack ",Bengaluru,Karnataka,India,data_engineers
Data Engineer,Koantek,4.3,"Databricks Rest API , ADLS Gen2 , Visual Studio, Jenkins, Databricks unity catalog , Azure devops , CICD , ELT , Apache Spark, PySpark, Azure Data Factory, Databricks , SQL, RDBMS, Unit test, ETL Tools, Apache Kafka, Python (Programming Language), Django, HTML, MATLAB, Spyder IDE, Jupyter notebook, GitHub, MySQL, TCL, Google collab, Jira, Perforce, Confluence, MongoDB, Linux, Elasticsearch, Kibana, Amazon S3, Postman API, DBeaver, Gitlab",Bachelor of Engineering - BE,Sai Vidya Institute of Technology,"Databricks Certified Data Engineer Professional, AWS Certified Cloud Practitioner , Databricks Generative AI Fundamentals , Databricks Lakehouse Fundamentals , Introduction to Artificial Intelligence (AI), IoT (Internet of Things) Wireless & Cloud Computing Emerging Technologies, Machine Learning for All, Programming for Everybody(Getting started with python), Databricks Certified Data Engineer Associate ",Bengaluru,Karnataka,India,data_engineers
Engineer III,American Express,5.2,"HTML, Azure DevOps Server, Microsoft Azure Machine Learning, Azure Cosmos DB, Azure Data Lake, Azure Functions, azure, Machine Learning Algorithms, Applied Machine Learning, Supervised Learning, Microsoft Machine Learning Server, Automated Machine Learning (AutoML), Statistical Learning, MLOps, Data Modeling, SQL Server Integration Services (SSIS), SQL Server Management Studio, SQL Tuning, Statistical Analysis, PL/SQL, Azure DevOps, SQL Azure, Microsoft Azure, Azure Databricks, Azure Data Factory, Amazon Web Services (AWS), AWS Lambda, AWS CloudFormation, AWS Command Line Interface (CLI), AWS IoT, AWS Glue, AWS SageMaker, Aws, AWS Identity and Access Management (AWS IAM), C (Programming Language), Data Science, Java, Core Java, Arduino, Database Management System (DBMS), SQL, Python (Programming Language), Cloud Computing",Master's degree,"Christ University, Bangalore","AWS Certified Solutions Architect – Professional, Microsoft Certified: Azure Administrator Associate, Microsoft Certified: Azure Solutions Architect Expert, AZ-305: Designing Microsoft Azure Infrastructure Solutions, Microsoft Certified: Azure Data Engineer Associate",Bengaluru,Karnataka,India,data_engineers
Senior Data Engineer,Maersk Global Service Centres,18.5,"Databases, Stored Procedures, DDL, Oracle SQL Developer, PL/SQL, SQL Loader, Python, UNIX Shell, Machine Learning, Dat Science, Exploratory Data Analysis, Data Visualization, Statistical Data Analysis, Data Analytics, Query Tuning, Pandas, NumPy, Matplotlib, Seaborn, PyPlot, SciPy, Scikit-Learn, Linear Regression, Logistic Regression, Supervised Learning, Unsupervised Learning, Cluster Analysis, Decision Trees, Random Forest, Time Series Analysis, Tree Models, K-Nearest Neighbors (KNN), Probability, Hypothesis Testing, Inferential Statistics",B. Tech.,Siliguri Institute of Technology,"Post Graduate Certification in Data Science, Oracle Advance PL/SQL Developer Certified Professional",Bengaluru,Karnataka,India,data_engineers
SDE III ,Walmart Global Tech India,8.2,"Apache Spark, SQL, ETL, Scala, Python, Hive, Shell Scripting, Databricks, Microsoft Azure, Informatica, Linux, SSMS, AWS, IICS, Data Analytics, Oracle, Informatica Cloud, Informatica PowerCenter, MongoDB, NoSQL, Data Visualization, Tableau, Apache Kafka, Unix, Azure Databricks, PySpark, Object-Oriented Programming (OOP), Docker",Bachelor’s Degree,C. V. Raman College of Engineering,"Containerization Using Docker, Microsoft Certified: Azure Fundamentals, Microsoft Certified: Azure Data Fundamentals, SQL (Intermediate), Apache Spark Programming with Databricks, Tableau Essential Training (2020.1), Problem Solving (Basic), Microsoft Certified: Azure Data Engineer Associate, Infosys Certified Python Programmer",Bengaluru,Karnataka,India,data_engineers
