current_position,current_company,years_of_experience,total_skills,education_degree,education_institution,certifications,city,state,country,profile_type
Data Scientist,Meesho,4.8,"Python (Programming Language), Programming, Data Science, Object-Oriented Programming (OOP), Data Analysis, Machine Learning, Deep Learning, Systems Design, Automation, Data Structures, Algorithms, Flask, SQL, Tableau, TensorFlow, C (Programming Language), Networking, AMOS, DSA, MySQL, Artificial Intelligence (AI), Analytical Skills, Data Visualization, Data Analytics, Microsoft Office, ms excel, Microsoft Power BI, Teradata SQL, IBM SPSS, Problem Solving, RDBMS, Database Management System (DBMS), Data analysis, Business Analysis",B.E. (Hons.),"Birla Institute of Technology and Science, Pilani","Managing Big Data with MySQL (Duke University), Business Metrics for Data-Driven Companies (Duke University), Data Visualization and Communication with Tableau (Duke University), Deep Learning Specialization (deeplearning.ai), IBM Data Science Professional Certificate",Bengaluru,Karnataka,India,data_scientists
Data Scientist,GE Aerospace,10.8,"Mechanical Engineering, Computer-Aided Design (CAD), Systems Engineering, Fluid Mechanics, Engineering, Heat Transfer, Siemens NX, Abaqus, CATIA, Python, Microsoft Office, Microsoft Excel, Automation in Seimens-NX, Manufacturing Processes, Knowledge Based Engineering, Volleyball, Boxing, Design Engineering, Leadership, Design, Requirements Engineering, Requirements Management, Integration, Verification and Validation (V&V), Intermediate Python for Data Science, Data Analysis, Data Science",Master of Technology (M.Tech.),"Indian Institute of Technology (Indian School of Mines), Dhanbad","Data Analyst with Python Track, Data Scientist with Python Track",Bengaluru,Karnataka,India,data_scientists
Data Scientist,AEREO,6.5,"AWS SageMaker, Geographic Information Systems (GIS), Computer Vision, Python (Programming Language), Machine Learning, Data Science, C++, C (Programming Language)",Master of Technology - MTech,"Indian Institute of Technology, Kanpur",,Bengaluru,Karnataka,India,data_scientists
Data Scientist III,Flipkart,5.4,"Information Retrieval, PySpark, Optimization, Google Cloud Platform (GCP), Large Language Models (LLM), Transformers, Attention model , Amazon Web Services (AWS), Deep Reinforcement Learning, Image Processing, TensorFlow, Python (Programming Language), Graph Neural network, Deep Learning, Data Analysis, Machine Learning, Computer Vision, Web Development, Python, C++, Django, Keras, SQL, Data Mining, Cluster Analysis, Data Science, Time Series Analysis","MSc, Applied statistics and informatics","Indian Institute of Technology, Bombay","PYTHON Gold badge, Unsupervised Learning in Python, Extreme Gradient Boosting with XGBoost, Intro to machine learning, Natural Language Processing in TensorFlow, Feature Engineering for Machine Learning in Python, Introduction to Natural Language Processing in Python, Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning, Machine Learning with Tree-Based Models in Python, Supervised Learning with scikit-learn, Understanding and Visualizing Data with Python, Intermediate R, Introduction to the Tidyverse, Deep Learning in Python",Bengaluru,Karnataka,India,data_scientists
Data Scientist,Blue Yonder,4.7,"Docker, Machine Learning Algorithms, Natural Language Processing (NLP), Photography, Adobe Photoshop, Marketing, Event Photography, Event Management, Social Media, Microsoft Office, Team Management, Data Science, Python (Programming Language), R, Deep Learning, Statistics, SQL",Dual Degree(B.Tech + M.tech),"Indian Institute of Technology (Banaras Hindu University), Varanasi"," Databases and SQL for Data Science,  Applied Social Network Analysis in Python,  Applied Text Mining in Python, Applied Data Science with Python Specialization, Applied Machine Learning in Python, Applied Plotting, Charting & Data Representation in Python, Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization, Introduction to Data Science in Python, Neural Networks and Deep Learning",Satna,Madhya Pradesh,India,data_scientists
Technical Lead- AI/ML/Generative AI/Agentic AI,Cognizant,7.2,"Retrieval-Augmented Generation (RAG), Large Language Models (LLM), Generative AI, Python (Programming Language), Statistics, Machine Learning, SQL, NLTK, Text Analytics, Natural Language Processing (NLP), Data Science, Scikit-Learn, Text Mining, Pandas, AWS Lambda, AWS SageMaker, Time Series Analysis, NumPy, Data Modeling, Data Mining",Master of Technology - MTech,"Biju Patnaik University of Technology, Odisha",,Bengaluru,Karnataka,India,data_scientists
Manager,HSBC,4.5,"Administrative Organization, General Office Work, Office Administration, Agile Methodologies, Requirements Gathering, Research, Analytical Skills, Python (Programming Language), Java, R, C (Programming Language), MapReduce, Problem Solving, Communication, Leadership, Machine Learning, Deep Learning, Natural Language Processing (NLP), Artificial Intelligence (AI), Artificial Neural Networks, Reinforcement Learning, Convolutional Neural Networks (CNN), Time Series Analysis, Data Mining, Python, Scikit-Learn, Keras, Matplotlib, NLTK",Master's degree,Ramakrishna Mission Vivekananda Educational and Research Institute,CutShort Certified Python - Advanced,Bengaluru,Karnataka,India,data_scientists
Chatbot system leveraging Large Language Models (LLMs) and prompt engineering with Gemini-1.5-Pro.,360DigiTMG,0.2,"Conversational AI, Experimental Analysis, Statistical Analysis, EDA, Cluster Analysis, NumPy, Scikit-Learn, MLOps, Real-time Data, Data Wrangling, Business Intelligence (BI), SQL, Deep Learning, Computer Vision, Time Series Forecasting, Convolutional Neural Networks (CNN), Large Language Models (LLM), MySQL, Microsoft Power BI, Python , Business Analytics, Machine Learning, Data Analysis, Data Science",,Formonex Solutions Pvt Ltd,,Bengaluru,Karnataka,India,data_scientists
Data Scientist,HSBC,10.1,"SQL, Tableau, R, Machine Learning, Data Analysis, Retail Banking, Advanced excel, PL/SQL, Python",Bachelor of Engineering - BE,Sathyabama University,"Analyzing and Visualizing data with Excel, Data Science Essentials, Introduction to R, Programming with R for datascience",Bengaluru,Karnataka,India,data_scientists
Senior Data Scientist,Scienaptic AI,4.6,"Statistics, Microsoft Office, Data Modeling, Statistical Data Analysis, Business Analytics, Communication, Microsoft PowerPoint, Business Intelligence (BI), Microsoft Excel, SQL, Statistical Modeling, Solution-oriented, Leadership, Cross-functional Team Leadership, Analytical Skills, Software Development, Data Analysis, Data Science, Machine Learning, Mathematics, Data Analytics, Programming, Python (Programming Language)",Master of Mathematics,"Indian Statistical Institute, Bangalore",Machine Learning Specialization,Bengaluru,Karnataka,India,data_scientists
Data Scientist,Cognizant,10.4,"Python (Programming Language), Data Science, Machine Learning, Programming, Tableau, Microsoft Excel, Microsoft Word, Microsoft PowerPoint, Data Analysis, Statistics, Data Mining",,,"Advance excel with Macros, Deep learning with Keras and Tensorflow, Tableau for Data Science ",Bengaluru,Karnataka,India,data_scientists
Senior Data Scientist,Gojek,10.2,"Deep Learning, Data Analysis, Artificial Intelligence (AI), Data Visualization, Statistical Modeling, Python (Programming Language), R, SQL, Tableau, Microsoft BI Suite, Machine Learning, Supervised Learning, Time Series Analysis, Microsoft Excel, Client Services, Business Development, Dataiku DSS, Data Science, Data Analytics, Analytics",Bachelor of Engineering - BE,Sri Venkateswara College of Engineering,Decision Scientist,Bengaluru,Karnataka,India,data_scientists
Senior Data Scientist,IBM,8.8,"Innovation Development, Natural Language Generation, Product Innovation, Innovation Hub, Generative AI, JSON, Data Analysis, Artificial Intelligence (AI), Data Science, Representational State Transfer (REST), Python (Programming Language), Machine Learning, Deep Learning, Software Development, SAP Implementation, Java, JavaScript, HTML, C, c++, Databases, Spring Framework, Web 2.0, Hibernate, Java Database Connectivity (JDBC), SAP ERP, SAP Netweaver, R, EAI, Log4j, Apache Kafka, Apache Camel, Natural Language Processing (NLP), Artificial Neural Networks",Bachelor of Engineering - BE,Visvesvaraya Technological University,"ML Certified Capstone project, Data Science with Python, Introduction to Artificial Intelligence, Machine Learning Advanced Certification Training, Introduction to Big Data and Hadoop, Python for Datascience, Statistics Essentials for Data Science, Essentials in AI-Kushal, Java, C and C++",Bengaluru,Karnataka,India,data_scientists
Data Scientist,Visa,4.0,"Llm, Natural Language Processing (NLP), Nlp, Communication, Speech Processing, Signal Processing, BERT (Language Model), NLTK, spaCy, Problem Solving, PyTorch, Large Language Models (LLM), Generative AI, Data Integration, Microsoft Products, Microsoft Azure, Matplotlib, Jupyter, Scikit-Learn, Machine Learning, Microsoft SQL Server, Tableau, Data Analysis, Data Mining, Forecasting, Statistical Modeling, Deep learning, Data Science, Research, Microsoft Excel, Seaborn, Python (Programming Language), Team Management, Big Data Analytics, Machine Learning Algorithms, R, Team Leadership, Feature Engineering, Pandas (Software)",Master's degree,St Joseph's University,"Pandas, Business Analytics-360",Bengaluru,Karnataka,India,data_scientists
Consultant,Affine,9.4,"Statistical Data Analysis, Linear Models, Multivariate Analysis, Data Collection, Distributed Systems, Business Intelligence (BI), Root Cause, Workload Prioritization, Problem Solving, Communication, Business Requirements, Team Management, Amazon Redshift, Databases, Data Warehousing, Data Science, Datasets, Data Quality, Data Pipelines, Airflow, Machine Learning, Deep Learning, Data Engineering, Research, Data Analysis, Agile Methodologies, Agile Project Management, Agile & Waterfall Methodologies, Extract, Transform, Load (ETL), Big Data, Python (Programming Language), Microsoft Azure, Hadoop, Microsoft Office, C, Microsoft Excel, Microsoft Word, PowerPoint, Informatica, Cognos, SQL, PySpark, Leadership, Public Speaking, Hive, Keil, Intellectually Curious, Teradata, EDA, PCA",Postgraduate Diploma,International Institute of Information Technology Bangalore,"Post Graduate Diploma in Machine Learning and Artificial Intelligence, Letter of Appreciation, Letter of Appreciation, Letter of Appreciation, Data Science Foundations - Level 1, Data Science Foundations - Level 1",Bengaluru,Karnataka,India,data_scientists
Technical Manager,Capgemini,7.0,"Data Modeling, Apache Airflow, Amazon Redshift, AWS Lambda, AWS Glue, PySpark, Python (Programming Language), SQL, Data Analysis, R, Predictive Analytics, Big Data, EDA, Statistics, Tableau, Financial Analysis, Machine Learning, Data Mining, Data Analytics",Pgdiploma in data science,Manipal Academy of Higher Education,,Bengaluru,Karnataka,India,data_scientists
Data Scientist,Cognizant,9.5,"Generative AI, Artificial Intelligence (AI), R (Programming Language), Machine Learning, Data Science, Deep Learning, Python (Programming Language), Oracle Database, PL/SQL, Java, SQL, Tableau, Natural Language Processing (NLP), Reinforcement Learning, Database Management System (DBMS)",BTech - Bachelor of Technology,"Shanmugha Arts, Science, Technology & Reserch Academy (SASTRA), Thanjavur","Machine learning Specialization, Machine Learning, Deep Learning, Machine Learning A-Z: Hands On Python in Data Science, AWS Technical professional, Certified Python Developer, ISTQB Foundation level",Bengaluru,Karnataka,India,data_scientists
Data Scientist,Jio,7.6,"Large Language Models (LLM), Retrieval-Augmented Generation (RAG), Machine Learning, Data Science, Business Analytics, Statistical Data Analysis, SQL, C++, Python (Programming Language), Analytics, Data Mining, Artificial Intelligence (AI), Data Structures, Machine Learning Algorithms, Supervised Learning, Microsoft Excel, R, Pandas (Software), TensorFlow, Deep Learning, Natural Language Processing (NLP), Python, Microsoft PowerPoint, Apache Spark, Big Data",PGDBA,"Indian Institute of Management, Calcutta","Machine Learning in Production, Generative AI with Large Language Models, Apache Spark Essential Training, Presentation skills: Designing Presentation Slides, Deep Learning in Python Track, Natural Language Processing with Classification and Vector Spaces, Machine Learning Fundamentals with Python Track, Tableau Expert, Machine Learning A-Z : Hands-On Python & R In Data Science",Bengaluru,Karnataka,India,data_scientists
