current_position,current_company,years_of_experience,total_skills,education_degree,education_institution,certifications,city,state,country,profile_type
Senior Lecturer,Sct polytechnic vignana nagara Bengaluru ,1.4,"Python (Programming Language), Front-End Development, Problem Solving, Web Applications, Responsive Web Design, Front-End Design, Object-Oriented Programming (OOP), Cascading Style Sheets (CSS), HTML, JavaScript, Java",full stack /DSML,Scaler,,Bengaluru,Karnataka,India,frontendFinal
Software Engineer II,Toast,13.7,"Haskell, Large Language Models (LLM), React.js, Problem Solving, C (Programming Language), Python (Programming Language), Public Speaking, Writing, Programming, Data Structures, Communication, Leadership, Presentations, Painting, Social Media Blogging, Java, English, Algorithms, Microsoft Word, Microsoft Excel, Microsoft PowerPoint, Sketching, Microsoft Office",Bachelor of Technology - BTech,Techno India College Of Technology,"Python(Basics), Machine Learning, Python for Data Science, Computer Architecture, Design and Analysis of Algorithms, Joy Of Computing Using Python, Soft Skills and Developement, Java (Basics), Problem Solving (Basic)",Bengaluru,Karnataka,India,frontendFinal
Engineering Intern,NotHotDog 🌭,1.0,"React.js, Leadership, HTML, CSS, JavaScript, Python (Programming Language), Algorithms, Database Management System (DBMS), SQLite, C (Programming Language), Data Structures, Front-End Development, Front-End Design",Bachelor of Technology - BTech,RV University,,Bengaluru,Karnataka,India,frontendFinal
Frontend Developer (SDE-I),Faxtor,2.2,"Webpack, Next.js, Front-End Development, React, Tailwindcss, JavaScript , CSS html, Tailwind CSS, Problem Solving, Optimization, Search Engine Optimization (SEO), Concurrent Programming, Oracle SQL Developer, Core Java, Collections, OOPS, Microsoft SQL Server, ORCALE SQL, JavaScript Libraries, Git, Software Development, Redux.js, React.js, Object-Oriented Programming (OOP), SQL, Java, React js, JavaScript, Web Development, C (Programming Language), HTML5, Cascading Style Sheets (CSS), Communication, Graphical User Interface (GUI), HTML, MySQL, Responsive Web Design, Data Structures, GitHub",Bachelor of Engineering - BE,"Sant Gadge Baba Amravati University, Amravati","CSS, SQL , Java Programming Fundamentals, Reactjs , Responsive Web Design, The Complete Core Java Course : Learn to Code ",Bengaluru,Karnataka,India,frontendFinal
Software Development Engineer 2,Rocketium,6.8,"Next.js, React.js, Python (Programming Language), C (Programming Language), Java, SQL, C++, HTML5, JavaScript, Animation, Gif Animator, Motion Graphics, After Effects, Adobe Illustrator, HTML, Cascading Style Sheets (CSS), Material-UI, Javascript, React, Redux, Semrush App Center",Bachelor of Technology - BTech,Jaypee University of Information Technology,,Bengaluru,Karnataka,India,frontendFinal
Senior Member of Technical Staff - II,Tessell,6.8,"reactjs, Front-End Development, react, Web Engineering, Engineering",Bachelor of Technology - BTech,"Indian Institute of Technology, Guwahati",,Bengaluru,Karnataka,India,frontendFinal
Senior Software Engineer,Walmart Global Tech India,11.2,"Computer Science, Apollo GraphQL, JavaScript, Front-end Development, node.js, Java, Data Structures, Algorithms, Vue.js, Test Planning, Search Engine Optimization (SEO), Load Balancing, Web Caching, Web Development, Web Applications, Service-Oriented Architecture (SOA), HTML5, Cascading Style Sheets (CSS), scss, php, MySQL, jQuery, Google Analytics, Google Webmaster Tools, Bootstrap, Git, Jenkins, Red Hat Linux, Ubuntu, AJAX, React.js, Github, JavaScriptMVC, Marketing Research, CSS Sprites, Gitlab, Nginx, Grunt (Software), Gulp.js, Express.js, User Experience (UX), Web Design, Back-End Web Development, Software Design, Responsive Web Design, Information Architecture, Mobile Web Design, Web Standards, Software Development, TypeScript",B.E / CSE,GCEB,"Learning Java, Artificial Intelligence Foundations: Machine Learning, Become a Front-End Web Developer, JavaScript Essential Training, Learning Git and GitHub, Learning JavaScript Debugging, Responsive Layout, User Experience for Web Designers, Web Development Foundations: Full-Stack vs Front-End, JavaScript: Patterns, Learning Functional Programming with JavaScript, RHCE",Bengaluru,Karnataka,India,frontendFinal
Technology Analyst,Infosys,3.8,"JSON Web Token (JWT), JavaScript eXtension (JSX), Agile Development, User Interface Design, Responsiveness, REST APIs, State Management, Redux.js, TypeScript, Git, Responsive Web Design, Document Object Model (DOM), Postman API, Css3, Cascading Style Sheets (CSS), JavaScript, Front-End Development, Application Programming Interfaces (API), Software Development, HTML5, Tailwind CSS, Web Development, Redux, WebSphere MQ, React.js",Bachelor of Engineering - BE,KLS Gogte institute of Technology,,Bengaluru,Karnataka,India,frontendFinal
Software Developer,Gyaanova,0.6,"JavaScript, Responsive Web Design, Web Development, Back-End Web Development, HTML5, SQL, Cascading Style Sheets (CSS), HTML, Java, Application Support, Customer Support, Communication",Bachelor of Engineering - BE,"Bapuji Institute of Engineering & Technology, DAVANAGERE",,Bengaluru,Karnataka,India,frontendFinal
Software Engineer,LeadSquared,5.1,"React.js, C#, HTML, HTML5, Cascading Style Sheets (CSS), Java, JavaScript, C (Programming Language), C++, MongoDB",Bachelor of Technology - BTech,Chitkara University,"Introduction to Cybersecurity, Introduction to Web Development, Programming Essentials in Python",Bengaluru,Karnataka,India,frontendFinal
Software Developer,Atlassian,5.9,"Web Application Security, Web Applications, MySQL, MongoDB, Git, Webpack, Object-Oriented Programming (OOP), Cascading Style Sheets (CSS), TypeScript, Front-End Development, Web Development, JavaScript, Spring Boot, Kubernetes, Docker, Spring Framework, React.js, React Hooks, Redux.js, Redux Thunk, HTML5, Bootstrap",Bachelor of Technology,RCC INSTITUTE OF INFORMATION TECHNOLOGY 117,,Bengaluru,Karnataka,India,frontendFinal
Software Engineer,Codewave,3.8,"front end libraries ,  javascript ,  Nextjs ,  tailwind , shadcn, Tailwind CSS,  sass, bootstrap ,  React Js, Next.js, TypeScript,  javascript,  jotai,  redux, Material-UI, Node.js, Jotai, React test library, Yup, Zod, SASS, Website Building, Hooks, HTML5,  RestApi, Javscript, ReactJS, Redux, Adobe Photoshop, Adobe Illustrator, WordPress, Responsive Web Design, Hypertext Transfer Protocol (HTTP), Document Object Model (DOM), HTML Emails, Email Design, Redux.js, React.js, JSON, Front-End Development, REST APIs, HTML, Css, Cascading Style Sheets (CSS), Bootstrap, JavaScript",Bachelor of Engineering - BE,University BDT College of Engineering - India,,Bengaluru,Karnataka,India,frontendFinal
Software Engineer II,Zepto,6.8,"Playwright, Zustand, Git, Unit Testing, Agile Software Development, Web Development, Jest, Javascript, Axios, React Native for Web, React Native, TypeScript, React.js, JavaScript, MERN Stack, React Hooks, Responsive Web Design, Redux.js, ES6, Cascading Style Sheets (CSS), HTML, HTML5, Microsoft Word, Microsoft Office, SQL, es6, Management, Customer Service, Teamwork, Redux Saga, Front-End Development",Bachelor’s Degree,SRM IST Chennai,"AI Tools Workshop, JavaScript (Intermediate), React (Basic)",Bengaluru,Karnataka,India,frontendFinal
Associate Software Engineering,Tietoevry,3.8,"Java, Communication, Problem Solving, Debugging, CFML, Web Applications, Code Review, Lucee, Coding Standards, Data Preparation, Oracle SQL Developer, Bootstrap (Framework), REST APIs, Google Analytics, Microsoft SQL Server, Postman API, Visual Studio, Git, Angular, Web Services API, JavaScript, React.js, Adobe ColdFusion, HTML and CSS",Bachelor of Engineering - BE,KLE College of Engineering & Technology belgavi,,Bengaluru,Karnataka,India,frontendFinal
Senior Software Engineer,Infiniti Research Ltd.,5.2,"Vue.js, java script, GraphQL, Bootstrap (Framework), HTML5, Cascading Style Sheets (CSS), Next.js, HTML5, CSS, REACT JS ",,,,Bengaluru,Karnataka,India,frontendFinal
Software Engineer ISDL,IBM,8.0,"JavaScript, React.js, Agile Methodologies, HTML, Redux, ITIL, Data Analysis, Web Development, styled-components, Front-end Development, React Hooks, Microsoft Azure, Microsoft Power BI, MySQL, Microsoft Power Automate, Microsoft Office, Cascading Style Sheets (CSS), Team Management, Leadership, Communication, Material-UI",Bachelor of Engineering - BE,"St Joseph Engineering College, Mangaluru","Developer Profession - Level 1 Foundation, ITIL4, Google Analytics for Beginners, Certified ScrumMaster® (CSM®)",Bengaluru,Karnataka,India,frontendFinal
Sr. Associate - Projects,Cognizant,8.4,"Angular 18, SAP SPARTACUS, Technical Specs, Technical Requirements, Software Design Patterns, Enterprise Solution Design, Debugging, Conceptual Design, Business Requirements, Angular 14, Spartacus, Angular, Front-End Development, SAP Hybris, HTML5, SAP hybris, Responsive Web Design, Web Development, JavaScript, Android Development, Web Design, Project Management, HTML, Cascading Style Sheets (CSS), Microsoft Excel, Microsoft Word, Microsoft Office, Microsoft PowerPoint, jQuery, scss, Bootstrap, SQL, AJAX, css3, REST API, JSON, GitHub, Git, LESS (Stylesheet Language), Community Development, lithium, Freemarker, Lithium communities , online communities , Lumapps, DSM, Storybook, ADA Compliance, Adobe Ensighten",Bachelor of Engineering - BE,University of Jammu,"Community Manager Certification level 1 Certification, Moderation Certification ",Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,Datman,2.8,"Continuous Integration and Continuous Delivery (CI/CD), Startups, Mobile Applications, GitHub, Application Programming Interfaces (API), React Native, Node.js, Redux, REST APIs, React.js, JavaScript, Bootstrap, HTML, Cascading Style Sheets (CSS), C (Programming Language)",Bachelor of Technology - BTech,Assam Kaziranga University,,Bengaluru,Karnataka,India,frontendFinal
Senior Software Engineer,Recro,4.7,"JavaScriptMVC, REST APIs, SCSS, Tailwind CSS, TypeScript, Redux, Vanilla JavaScript, Flux, React Hooks, Agile Software Development, JavaScript Object Model (JSOM), Document Object Model (DOM), JSON Web Token (JWT), Redux Thunk, Application Programming Interfaces (API), Agile Development, JSON, User Experience (UX), jQuery, Git, GitHub, JavaScript Libraries, Cross-browser Compatibility, HTML/CSS, Software Development, Web Development, Object-Oriented Programming (OOP), User Interface Design, Responsive Web Design, Redux.js, HTML5, Front-End Development, Vue.js, MongoDB, React.js, Bootstrap, Cascading Style Sheets (CSS), HTML, JavaScript, C, MySQL, Electrical Engineering, PLC Programming, C++, SCADA, Electrical Machines, Automotive Electrical Systems",Bachelor of Technology - BTech,"RAJ KUMAR GOEL INSTITUTE OF TECHNOLOGY, GHAZIABAD",PLC-SCADA ,Bengaluru,Karnataka,India,frontendFinal
Senior Frontend Developer,KJBN Labs,3.9,"Spring Boot, Mobile Applications, Flutter - Cross-platform Development, Problem Solving, Data Structures, Core Java, Microservices, DevOps, Programming, NoSQL, GitHub, Unit Testing, Code Review, Performance Monitoring, Firebase, Agile Methodologies, Python - Data science and Machine learning",Bachelor of Technology - BTech,"Indian Institute of Information Technology, Design and Manufacturing, Jabalpur",,Bengaluru,Karnataka,India,frontendFinal
SDE1,ZopSmart,6.4,"Webpack, SASS, Object Oriented Design, Object-Oriented Programming (OOP), Bootstrap (Framework), Agile Development, Application Development, Web Development, Communication, Representational State Transfer (REST), Express.js, Docker Products, Customer-Focused Service, Markup Languages, System Performance, Versioning, JavaScript Frameworks, State Management, Agile Methodologies, User Interface Design, Programming Languages, Design, Software Development Life Cycle (SDLC), Amazon Web Services (AWS), Startups, GitHub, Retrospectives, Hooks, React Hooks, Responsive Web Design, User Experience (UX), Application Programming Interfaces (API), Front-End Development, Web Applications, Coding Experience, Functional Programming, Closures, Document Object Model (DOM), Optimizing Performance, Problem Solving, Code Review, HTML5, Technical Leadership, Software as a Service (SaaS), Software Development, MERN Stack, REST APIs, Cascading Style Sheets (CSS), Jest, Material-UI, Unit Testing, Agile Software Development, Node, Next.js, A-layer, Continuous Integration and Continuous Delivery (CI/CD), Full-Stack Development, Back-End Web Development, Systems Design, Microservices, TypeScript, Node.js, Git, React.js, SQL, C++, Computer Science, Engineering, HTML, C (Programming Language), Microsoft PowerPoint, JavaScript, Microsoft Word, Microsoft Excel, Turbo C, Ethereum, Leadership, Python , Algorithms, Data Structures, Solidity, Programming, Smart Contracts, Remix IDE, Blockchain, Cryptocurrency",Bachelor of Technology - BTech,"KAMLA NEHRU INSTITUTE OF TECHNOLOGY, SULTANPUR","The Complete 2020 Web Development Bootcamp(MERN Stack), Blockchain Basics, Decentralized Applications (Dapps), Smart Contracts, Data Structures and Algorithms",Bengaluru,Karnataka,India,frontendFinal
Associate Consultant,GlobalLogic,10.4,"Redux, React.js, HTML, Cascading Style Sheets (CSS), ColdFusion, SQL, JavaScript, AJAX, jQuery, FW/1 FrameWork",Bachelor of Engineering - BE,Nandha Engineering College,,Bengaluru,Karnataka,India,frontendFinal
